Address,Affiliated upto,Affiliation No.,Email,Head,Name,Phone No.,State,Status
"B S L LH BOKARO STEEL CITY JHARKHAND ,800018",31/03/2021,3430192,biswajitpatra4869@rediffmail.com,BISWAJIT PATRA,A R S PUBLIC SCHOOL,"6542 ,09204780407",JHARKHAND,Senior Secondary
"vill. madhwatand, p.o. makatpur, p.s. jainagar, koderma. ,825301",31/03/2021,3430249,punit_ydv@rediffmail.com,PUNIT YADAV,adarsh +2 uchh vidyalaya,"6534 ,222453",JHARKHAND,Senior Secondary
"GOLUKDIH OPEN CART PROJECT AT- GOLUKDIH P.O.JHARIA DISTT.DHANBAD JHARKHAND ,828111",31/03/2020,3430084,asuvidyalaya@ymail.com,SHIO KUMAR SINGH,ADARSH SHRAMIK UCHCH VIDYALAYA,"0326 ,2290009",JHARKHAND,Secondary School
"BYE PASS ROAD CHAS BUS STAND BOKARO JHARKHAND ,827013",31/03/2019,3430089,cghosh1973@gmail.com,CHINMOY GHOSH,ADARSH VIDYA MANDIR,"6542 ,265171",JHARKHAND,Senior Secondary
"P.O BHARECH NAGAR VIA RAMGARH CANTT DISTT HAZARIBAGH JHARKHAND ,829146",31/03/2021,3430128,mkm62.dav@gmail.com,MANOJ KUMAR MISHRA,AGRASEN DAV PUB. SCHOOL,"6553 ,256801",JHARKHAND,Senior Secondary
"DIHING ROAD, OLD BARIDIH, DHALBHUM, JAMSHEDPUR, EAST SINGHBHUM, JHARKHAND ,831017",31/03/2023,3430223,jasbeergill@rediffmail.com,JASBEER KAUR GILL,AIWC ACADEMY OF EXECELLENCE,"0657 ,2213349",JHARKHAND,Senior Secondary
"JAGDISHPUR, MODHUPUR, DEOGARH, JHARKHAND ,815353",31/03/2019,3430220,aniruddh.mishra69@gmail.com,ANIRUDDH MISHRA,ANANDALAYA PUBLIC SCHOOL,"6438 ,284210",JHARKHAND,Secondary School
"Barkagaon Road, Block- Katkamdag, Shankarpur, HAzaribag, Pin.-825301 ,825301",31/03/2018,3430276,angelshighschool2008@gmail.com,SWATI AGRAWAL,Angels High School,"0654 ,262518",JHARKHAND,Senior Secondary
"AT-KATIA,PARSABAD,PO-PARSABAD ,825318",31/03/2019,3430432,munshiyadav8@gmail.com,Mr.BAIJNATH PRASAD BARNWAL,APPRECIABLE PUBLIC SCHOOL,",09973240886",JHARKHAND,Secondary School
"RAMESHWARAM LANE BARAITU ROAD RANCHI JHARKHAND ,834009",31/03/2021,3480004,asr8208@rediffmail.com,MR.ABHAY KUMAR SINGH,ARMY PUBLIC SCHOOL,"0651 ,06512273354",JHARKHAND,Senior Secondary
"RAMGARH CANTT. DISTT.HAZARI BAGH JHARKHAND ,829122",31/03/2021,3480003,armyschool@yahoo.co.in,Mr MB Choubey,ARMY PUBLIC SCHOOL,"06553 ,222107",JHARKHAND,Senior Secondary
"at- kuchai, post-kuchai, distt-saraikela-kharsawan, jharkhand-833 216 ,",31/03/2020,3420003,,.,ashram residential school,",",JHARKHAND,Secondary School
"at-parvat vihar, post-jamtara, dist. jamtara, dist. jamtara, jharkhand- 815 351 ,",31/03/2020,3420004,,.,ashram residential school,",",JHARKHAND,Secondary School
"NARWAPAHAR POST NARWAPAHAR VIA SUNDERNAGAR SINGHBHUM DISTT HQ JAMSHEDPUR JHARKHAND ,832107",31/03/2021,3480005,aecsnrw@yahoo.co.in,Mr. DILEEP SINGH,ATOMIC ENERGY CENTRAL SCHOOL,"0657 ,2741609",JHARKHAND,Secondary School
"P O JADUGUDA MINES SINGHBHUM DISTT JHARKHAND ,832102",01/05/2019,3480002,uciljd@ucil_jd.bih.nic.in,HAROON RASHID KHAN,ATOMIC ENERGY CENTRAL SCHOOL,"0891 ,235",JHARKHAND,Senior Secondary
"Turamdih, via Sundernagar, East Singhbhum Distt. ,832107",31/03/2021,3480006,aecstmd@yahoo.co.in,S.K. SARANGI,"Atomic Energy Central School,","0657 ,6571518",JHARKHAND,Secondary School
"po jaduguda mines district east singhbhum, mosabani, jharkhand ,832102",31/03/2020,3480010,cstb@sanchernet.in,MR BABU RAM,atomic energy central school-2,"0657 ,2730951",JHARKHAND,Secondary School
"RIVERS MEET ROAD P O SONARY WEST JAMSHEDPUR JHARKHAND ,831011",31/03/2021,3430046,sumitadey24@yahoo.com,SUMITA DEY,B S S PRANAV CHILDREN WORLD,"0657 ,2301760",JHARKHAND,Senior Secondary
"BULAKI ROAD NEAR RAILWAY STATION GIRIDIH JHARKHAND ,815201",31/03/2019,3430102,bnsdavgiridih@hotmail.com,PRABIR HAZRA,BADRI NARAYAN SHAH DAV PUB SCH,"6532 ,222485",JHARKHAND,Senior Secondary
"ARA COLLIERY P.O. SARUBERA (KUJU) HAZARIBAGH DISTT JHARKHAND ,829134",31/03/2020,3430032,www.nageshwarthakur238@gmail.com,NAGESHWAR THAKUR,BAL VIDYA MANDIR,"6545 ,253543",JHARKHAND,Secondary School
"KADMA JAMSHEDPUR EAST SINGHBHUM JHARKHAND ,825325",31/03/2020,3430206,baldwin.jsr@gmail.com,SUBHOSREE SARKAR,BALDWIN FARM AREA HIGH SCHOOL,"0657 ,2310195",JHARKHAND,Senior Secondary
"JHARIA PO JHARIA DHANBAD JHARKHAND ,828111",31/03/2020,3430142,roy.ajanta1963@gmail.com,Ajanta Roy,BALKIA VIDYA MANDIR,"0326 ,2240372",JHARKHAND,Senior Secondary
"B. P. DAV PUBLIC SCHOOL, PHARATHIA, GARHWA ,822114",31/03/2019,3430329,davpsgarhwa@gmail.com,AJAY KUMAR CHAUBEY,BANSHIDHAR PARASNATH DAV PUBLIC SCHOOL,"6561 ,9431136772",JHARKHAND,Secondary School
AT,31/03/2020,3430307,info.bcps2010@gmail.com,Mr.Sanjay Kumar,Bhagmani Chandravansi Public School,",06584290069",JHARKHAND,Secondary School
