S.No.,Affiliation No.,State,Name,Head,Status,Affiliated upto,Address,Phone No.,Email
1,2530001,ANDAMAN & NICOBAR,CARMEL SEC SCHOOL,Sr Maria Reshma,Senior Secondary,31/03/2017,"PHOENIX BAY HADDO POST PORT BLAIR A & N ISLANDS ,744102","3192 ,230411",reshac@gmail.com
2,2530013,ANDAMAN & NICOBAR,crescent public school,E SAIRA BANU,Senior Secondary,31/03/2019,"wimberly gunj po, south andaman, ferrar gunj andaman ,744206","3192 ,256129",cpsandaman@gmail.com
3,2520090,ANDAMAN & NICOBAR,GOVERNMENT SECONDARY SCHOOL,SURESH CHANDRA MAZUMDER,Secondary School,31/03/2015,"PINAKI, BILLGROUND, N & M ANDAMAN ,744201","0319 ,270798",gsspinakinagar@rediffmail.com
4,2520087,ANDAMAN & NICOBAR,GOVERNMENT SECONDARY SCHOOL,P.J. EAPPER,Secondary School,31/03/2015,"MADHEEPUR, DIGLIPUR, NORTH ANDAMAN ,744206","03192 ,03192",gsssubashgram2@yahoo.co.in
5,2520074,ANDAMAN & NICOBAR,GOVERNMENT SECONDARY SCHOOL,BHAGWAN DASS,Secondary School,31/03/2018,"PRATHRAPUR BRIJKUNJ PO BRICHKUNJ P O A & N ISLANDS ,744206","03192 ,55254",rnr@andaman.tn.nic.in
6,2520075,ANDAMAN & NICOBAR,GOVERNMENT SR SECONDARY SCHOOL,SAROJ KUMAR BANERJEE,Senior Secondary,31/03/2021,"C F O NALLAH VIL. DHARAMPUR PO BETAPUR A & N ISLANDS ,744201","3192 ,270087",sscfo1967@gmail.com
7,2520032,ANDAMAN & NICOBAR,govt secondary school,M RAJESHWARAN,Secondary School,31/03/2020,"shibpur aerial bay p.o nth andaman a & n islands ,744202","3192 ,272389",gssshibpur@gmail.com
8,2520046,ANDAMAN & NICOBAR,GOVT SENIOR SECONDARY SCHOOL,MOTILAL HOWLADAR,Senior Secondary,31/03/2012,"KISHORI NAGAR NORTH ANDAMAN A & N ISLANDS ,744202","03192 ,282618",rnr@andaman.tn.nic.in
9,2520031,ANDAMAN & NICOBAR,GOVT SR SECONDARY SCHOOL,SUSAMA BISWAS,Senior Secondary,31/03/2015,"SWARAJGRAM POST DIGLIPUR NORTH ANDAMAN A & N ISLANDS ,744202","0319 ,272927",sblall62@gmail.com
10,2520001,ANDAMAN & NICOBAR,govt boys sr sec school,MALATI SINGH,Senior Secondary,31/03/2014,"middle point pt blair a & n islands ,744101","3192 ,232275",gbsssprincipal@gmail.com
11,2520094,ANDAMAN & NICOBAR,govt decondary school,SAFYAZ BEGUM,Secondary School,31/03/2017,"tamaloo, car nicobar, distt nicobar, a & n island ,744301","3193 ,265037",
12,2520002,ANDAMAN & NICOBAR,govt girls sr sec school,SANGEETA CHAND,Senior Secondary,31/03/2015,"pt blair a & n islands 744104 ,744104","3192 ,232344",sangeeta_230940@yahoo.co.in
13,2520073,ANDAMAN & NICOBAR,govt model seni secondary school,g sriniwas rao,Senior Secondary,31/03/2019,"kamta nancowrie a & n islands ,744206",",",
14,2520034,ANDAMAN & NICOBAR,GOVT MODEL SENIOR SECONDARY SCHOOL,Vibha Sethi,Senior Secondary,31/03/2019,"FERRARGUNJ P.O.BEACHDERA SOUTH ANDAMAN A & N ISLANDS ,744101","0319 ,266180",vibhesethi@yahoo.com
15,2520004,ANDAMAN & NICOBAR,govt model sr sec school,SHARA CHANDRAN G,Senior Secondary,31/03/2016,"p.o. aberdeen bazaar pt blair a & n islands ,744101","3192 ,232589",sarathandamans@gmail.com
16,2520003,ANDAMAN & NICOBAR,govt rabindra bangla vidyalaya,LOKESH KUMAR,Senior Secondary,31/03/2014,"pt blair a & n islands 744101 ,744101","3192 ,233410",lokeshdoe@gmail.com
17,2520076,ANDAMAN & NICOBAR,govt sec school,CHAYA RANI SAMANTA,Secondary School,31/03/2018,"delanipur haddo po pt blair a & n islands ,744102","0319 ,241199",gssdelanipur1960@gmail.com
18,2520083,ANDAMAN & NICOBAR,GOVT SEC SCHOOL,SAFIA BIBI,Senior Secondary,31/03/2015,"SUBHASHGRAM DIGLIPUR NORTH ANDAMAN A & N ISLANDS ,744206","3192 ,271030",gssssubashgram2012@gmail.com
19,2520077,ANDAMAN & NICOBAR,GOVT SEC SCHOOL,MANIMALA HALDER,Secondary School,31/03/2019,"SHOAL BAY-12 SOUTH ANDEMAN A & N ISLANDS ,744206","3192 ,281842",gssshoalbay12@gmail.com
20,2520068,ANDAMAN & NICOBAR,govt sec school,SILPI RAO,Secondary School,31/03/2015,"distt junglighat pt blair south andamans ,744103","3192 ,232255",headmaster.gssjg62@gmail.com
21,2520069,ANDAMAN & NICOBAR,govt sec school,LIDIA BAGE,Secondary School,31/03/2014,"namunaghar south andaman a&n island ,744206","0319 ,223630",
